store_id,store_name,city,state,region,manager_name
1,Retail Store 1,Pune,Maharashtra,West,Jasmit Gera
2,Retail Store 2,Delhi,Delhi,North,Elijah Badal
3,Retail Store 3,Bengaluru,Karnataka,South,Akshay Lala
4,Retail Store 4,Patna,Bihar,East,Balveer Bhasin
5,Retail Store 5,Patna,Bihar,East,Yashawini Mangat
6,Retail Store 6,Lucknow,Uttar Pradesh,North,Pallavi Ratti
7,Retail Store 7,Lucknow,Uttar Pradesh,North,Michael Mall
8,Retail Store 8,Jaipur,Rajasthan,North,Dayita Brar
9,Retail Store 9,Pune,Maharashtra,West,Nachiket Yadav
10,Retail Store 10,Hyderabad,Telangana,South,Mahika Bhatti
11,Retail Store 11,Hyderabad,Telangana,South,Rajeshri Khare
12,Retail Store 12,Chennai,Tamil Nadu,South,Yash Chadha
13,Retail Store 13,Kolkata,West Bengal,East,Jack Setty
14,Retail Store 14,Kolkata,West Bengal,East,Dayamai Gill
15,Retail Store 15,Hyderabad,Telangana,South,Advik Devan
16,Retail Store 16,Jaipur,Rajasthan,North,Nihal Taneja
17,Retail Store 17,Delhi,Delhi,North,Zansi Lad
18,Retail Store 18,Hyderabad,Telangana,South,Kamya Date
19,Retail Store 19,Mumbai,Maharashtra,West,Jacob Balan
20,Retail Store 20,Hyderabad,Telangana,South,Pushti Magar
